ds,yhat,y_pred_lower,y_pred_upper
2034-01-06 00:00:00,11927.730637800536,11766.155928722594,12089.305346878478
2034-01-07 00:00:00,11935.68742742283,11773.807374645483,12097.567480200178
2034-01-08 00:00:00,11921.83984594798,11747.53079429563,12096.14889760033
2034-01-09 00:00:00,11899.24661376896,11736.453463973547,12062.039763564375
2034-01-10 00:00:00,11944.866952321941,11784.518955762196,12105.214948881687
2034-01-11 00:00:00,11947.090935392916,11776.868591984343,12117.31327880149
2034-01-12 00:00:00,11949.715582421226,11779.399037695122,12120.03212714733
2034-01-13 00:00:00,11935.46158399013,11770.76197037602,12100.161197604242
2034-01-14 00:00:00,11960.379811808278,11788.704310259582,12132.055313356974
2034-01-15 00:00:00,11968.45182684593,11793.519381864078,12143.384271827783
2034-01-16 00:00:00,11966.480345578713,11799.965821257025,12132.994869900402
2034-01-17 00:00:00,12024.495267829614,11858.480356197195,12190.510179462033
2034-01-18 00:00:00,12028.31336696383,11858.717367505164,12197.909366422497
2034-01-19 00:00:00,12025.152703266576,11852.46681778341,12197.838588749742
2034-01-20 00:00:00,12004.20986921641,11837.182126615906,12171.237611816916
2034-01-21 00:00:00,12026.853509441873,11857.603070282496,12196.10394860125
2034-01-22 00:00:00,12038.873588410848,11867.720738525122,12210.026438296574
2034-01-23 00:00:00,12046.00059887955,11877.572397250815,12214.428800508284
2034-01-24 00:00:00,12115.767853737438,11954.902325586561,12276.633381888314
2034-01-25 00:00:00,12130.276690125558,11959.127184512574,12301.426195738542
2034-01-26 00:00:00,12131.385153040894,11965.143086223365,12297.627219858423
2034-01-27 00:00:00,12101.891159590103,11935.446265357728,12268.336053822477
2034-01-28 00:00:00,12099.011535147452,11928.350436569259,12269.672633725646
2034-01-29 00:00:00,12070.533131564895,11907.101809538914,12233.964453590876
2034-01-30 00:00:00,12031.420797080207,11865.540830262657,12197.300763897758
2034-01-31 00:00:00,12061.635274734945,11895.055109018744,12228.215440451146
2034-02-01 00:00:00,12051.824088783738,11881.337627965098,12222.310549602378
2034-02-02 00:00:00,12043.90112575733,11879.100651901617,12208.701599613041
2034-02-03 00:00:00,12013.418010960717,11840.469079697144,12186.36694222429
2034-02-04 00:00:00,12009.415686700333,11840.31150703209,12178.519866368577
2034-02-05 00:00:00,11976.652619059392,11817.9870826888,12135.318155429984
2034-02-06 00:00:00,11933.353328609417,11760.496022360188,12106.210634858646
2034-02-07 00:00:00,11964.620117201286,11792.293265505541,12136.946968897031
2034-02-08 00:00:00,11962.526957971395,11800.316998795628,12124.736917147162
2034-02-09 00:00:00,11965.356185773042,11799.712887456204,12130.99948408988
2034-02-10 00:00:00,11943.550523872722,11787.433702460852,12099.667345284592
2034-02-11 00:00:00,11944.77904315971,11775.41714963668,12114.14093668274
2034-02-12 00:00:00,11917.735427545958,11747.869992700695,12087.600862391222
2034-02-13 00:00:00,11886.459017012237,11724.419828607326,12048.498205417149
2034-02-14 00:00:00,11938.251402560869,11772.888923447168,12103.61388167457
2034-02-15 00:00:00,11961.149159138307,11790.208691151623,12132.089627124991
2034-02-16 00:00:00,11986.008780622768,11821.500680185065,12150.51688106047
2034-02-17 00:00:00,11977.886397088978,11806.401334639842,12149.371459538113
2034-02-18 00:00:00,11984.846716780312,11817.596234133238,12152.097199427386
2034-02-19 00:00:00,11960.827586121133,11794.707409404646,12126.94776283762
2034-02-20 00:00:00,11935.98813051807,11771.456618581611,12100.519642454528
2034-02-21 00:00:00,12001.037384427698,11843.598576096823,12158.476192758573
2034-02-22 00:00:00,12043.849795612763,11881.533223595823,12206.166367629703
2034-02-23 00:00:00,12093.03743508825,11923.98196876432,12262.092901412181
2034-02-24 00:00:00,12110.27698622457,11936.104822779329,12284.44914966981
2034-02-25 00:00:00,12138.858995319242,11967.252617384827,12310.465373253657
2034-02-26 00:00:00,12126.257960905006,11962.290922139402,12290.22499967061
2034-02-27 00:00:00,12096.543618920492,11936.408657644413,12256.67858019657
2034-02-28 00:00:00,12138.734077736079,11966.36717103752,12311.100984434637
2034-03-01 00:00:00,12146.26282649514,11980.644322503595,12311.881330486685
2034-03-02 00:00:00,12159.20384516489,11984.68769109089,12333.719999238889
2034-03-03 00:00:00,12150.461814457654,11981.415767358356,12319.507861556953
2034-03-04 00:00:00,12167.837716642334,12000.5221406205,12335.153292664168
2034-03-05 00:00:00,12154.562871622398,11982.378624646037,12326.74711859876
2034-03-06 00:00:00,12126.05035399257,11959.095812699738,12293.004895285403
2034-03-07 00:00:00,12165.249419390291,11998.982289897776,12331.516548882806
2034-03-08 00:00:00,12166.013450580558,11995.967559374189,12336.059341786928
2034-03-09 00:00:00,12173.487106709026,12007.609941373637,12339.364272044415
2034-03-10 00:00:00,12164.524922286953,12000.00721548657,12329.042629087337
2034-03-11 00:00:00,12185.845628866544,12014.137983742727,12357.553273990361
2034-03-12 00:00:00,12175.774201674145,12006.011549681869,12345.536853666421
2034-03-13 00:00:00,12146.147592013625,11969.412651909373,12322.882532117877
2034-03-14 00:00:00,12181.571160495094,12018.907057108074,12344.235263882114
2034-03-15 00:00:00,12181.621428430972,12020.941744452393,12342.30111240955
2034-03-16 00:00:00,12196.24629961842,12033.963138408008,12358.529460828833
2034-03-17 00:00:00,12201.531067423055,12028.43908986755,12374.62304497856
2034-03-18 00:00:00,12238.022188113537,12062.997059075069,12413.047317152004
2034-03-19 00:00:00,12237.046199808461,12067.106677760647,12406.985721856276
2034-03-20 00:00:00,12207.850641573,12043.69246418256,12372.00881896344
2034-03-21 00:00:00,12238.359196949832,12062.345391484812,12414.373002414852
2034-03-22 00:00:00,12234.411941379829,12057.857801937313,12410.966080822345
2034-03-23 00:00:00,12251.029251631942,12077.090378339222,12424.968124924662
2034-03-24 00:00:00,12265.810501137212,12100.423183460358,12431.197818814066
2034-03-25 00:00:00,12317.883003161789,12150.451733458029,12485.31427286555
2034-03-26 00:00:00,12335.619744627496,12168.97213851537,12502.267350739623
2034-03-27 00:00:00,12324.185510610247,12155.313117025893,12493.0579041946
2034-03-28 00:00:00,12365.729151712922,12195.07701243111,12536.381290994734
2034-03-29 00:00:00,12359.228164883367,12182.714774065025,12535.741555701708
2034-03-30 00:00:00,12355.148773304472,12185.955800952648,12524.341745656297
2034-03-31 00:00:00,12332.757313616858,12165.680099265832,12499.834527967883
2034-04-01 00:00:00,12340.157131600397,12167.558963700181,12512.755299500614
2034-04-02 00:00:00,12317.882449153818,12142.788039178538,12492.976859129098
2034-04-03 00:00:00,12279.5387257154,12114.082265598732,12444.995185832067
2034-04-04 00:00:00,12307.22675023679,12137.528924823579,12476.924575650002
2034-04-05 00:00:00,12292.567535033133,12123.790126143344,12461.344943922923
2034-04-06 00:00:00,12277.84668057998,12113.922982972235,12441.770378187724
2034-04-07 00:00:00,12239.409727875987,12067.688065659411,12411.131390092563
2034-04-08 00:00:00,12228.825622990385,12056.307067189844,12401.344178790927
2034-04-09 00:00:00,12191.979312795596,12016.659954797253,12367.29867079394
2034-04-10 00:00:00,12144.274406618511,11980.999458998427,12307.549354238596
2034-04-11 00:00:00,12164.552631082084,12001.437229870193,12327.668032293976
2034-04-12 00:00:00,12139.68585761332,11969.12691623899,12310.24479898765
2034-04-13 00:00:00,12111.028460868254,11940.801849976651,12281.255071759857
2034-04-14 00:00:00,12059.360133367913,11893.550728138936,12225.169538596889
2034-04-15 00:00:00,12042.579708165591,11873.753963738232,12211.40545259295
2034-04-16 00:00:00,12009.19420365827,11841.76807008227,12176.62033723427
2034-04-17 00:00:00,11971.063582508134,11797.78379392032,12144.343371095947
2034-04-18 00:00:00,12000.017494865584,11832.736125115167,12167.298864616001
2034-04-19 00:00:00,11977.865962499502,11810.922975403508,12144.808949595496
2034-04-20 00:00:00,11946.682963269832,11776.56326648877,12116.802660050893
2034-04-21 00:00:00,11892.786276136932,11722.991023422155,12062.58152885171
2034-04-22 00:00:00,11880.41937640831,11717.62604293298,12043.21270988364
2034-04-23 00:00:00,11861.558715271274,11693.212083103366,12029.905347439182
2034-04-24 00:00:00,11847.98070865817,11680.268827764303,12015.692589552036
2034-04-25 00:00:00,11909.221198773448,11736.181933397618,12082.260464149278
2034-04-26 00:00:00,11923.52068758621,11756.023403559928,12091.017971612491
2034-04-27 00:00:00,11927.935770398815,11755.627490185754,12100.244050611876
2034-04-28 00:00:00,11902.01266970565,11734.07977853051,12069.94556088079
2034-04-29 00:00:00,11903.531185363849,11728.867928119103,12078.194442608594
2034-04-30 00:00:00,11882.286433885383,11719.396474165258,12045.176393605509
2034-05-01 00:00:00,11855.21550546616,11693.752574689017,12016.678436243303
2034-05-02 00:00:00,11902.868678223367,11734.456028408276,12071.281328038458
2034-05-03 00:00:00,11914.191438688009,11746.54590274742,12081.836974628597
2034-05-04 00:00:00,11930.22767365688,11753.82986850147,12106.62547881229
2034-05-05 00:00:00,11925.747939688785,11761.447930593455,12090.047948784115
2034-05-06 00:00:00,11949.347846287848,11783.841279052896,12114.8544135228
2034-05-07 00:00:00,11944.196621244995,11781.471864502924,12106.921377987066
2034-05-08 00:00:00,11927.278726051207,11760.104314939903,12094.45313716251
2034-05-09 00:00:00,11983.883490174305,11819.336149765011,12148.430830583598
2034-05-10 00:00:00,12006.587228061633,11838.931153873025,12174.243302250241
2034-05-11 00:00:00,12035.124415819208,11868.680468012692,12201.568363625724
2034-05-12 00:00:00,12039.218740995908,11870.41999146999,12208.017490521826
2034-05-13 00:00:00,12063.84286237902,11898.735883739839,12228.949841018202
2034-05-14 00:00:00,12053.810819522114,11885.74423006723,12221.877408976998
2034-05-15 00:00:00,12032.035920551982,11872.659547893356,12191.412293210607
2034-05-16 00:00:00,12088.863267568158,11928.0403096068,12249.686225529516
2034-05-17 00:00:00,12116.359564428945,11947.117581964321,12285.60154689357
2034-05-18 00:00:00,12148.432254596733,11974.952372918382,12321.912136275085
2034-05-19 00:00:00,12148.228863806122,11973.586016645984,12322.87171096626
2034-05-20 00:00:00,12158.623906804329,11986.066470052738,12331.18134355592
2034-05-21 00:00:00,12128.228421045833,11961.297537244398,12295.159304847268
2034-05-22 00:00:00,12086.846984097037,11924.08561532059,12249.608352873485
2034-05-23 00:00:00,12130.495455222128,11958.671521442058,12302.319389002198
2034-05-24 00:00:00,12153.282780788304,11977.145993348346,12329.419568228263
2034-05-25 00:00:00,12188.22824381411,12019.90383837952,12356.5526492487
2034-05-26 00:00:00,12196.034362747963,12026.428483554284,12365.640241941643
2034-05-27 00:00:00,12215.95069742719,12050.465343885324,12381.436050969056
2034-05-28 00:00:00,12191.13159580471,12018.255387123701,12364.00780448572
2034-05-29 00:00:00,12144.875427344434,11974.882810578321,12314.868044110546
2034-05-30 00:00:00,12168.893559726996,12003.210150957584,12334.576968496407
2034-05-31 00:00:00,12159.09540578962,11990.891198253696,12327.299613325544
2034-06-01 00:00:00,12157.57831443988,11992.37409166887,12322.78253721089
2034-06-02 00:00:00,12137.242717997828,11969.431222597872,12305.054213397783
2034-06-03 00:00:00,12145.708183850586,11974.281424999655,12317.134942701516
2034-06-04 00:00:00,12125.813180182153,11953.982585894102,12297.643774470203
2034-06-05 00:00:00,12093.230230604897,11924.09690897869,12262.363552231103
2034-06-06 00:00:00,12131.101722092151,11966.001283206391,12296.202160977911
2034-06-07 00:00:00,12131.923529702295,11957.820774114298,12306.026285290292
2034-06-08 00:00:00,12140.76188081263,11980.876073391224,12300.647688234036
2034-06-09 00:00:00,12135.346703192206,11967.444968893793,12303.24843749062
2034-06-10 00:00:00,12164.527004674721,12009.625333965463,12319.428675383979
2034-06-11 00:00:00,12167.200323632276,12001.667579731045,12332.733067533507
2034-06-12 00:00:00,12153.709604529891,11984.93702289504,12322.482186164743
2034-06-13 00:00:00,12205.673137288948,12039.124652004393,12372.221622573503
2034-06-14 00:00:00,12219.41904063152,12053.929481644062,12384.908599618977
2034-06-15 00:00:00,12245.819022347048,12074.810063772338,12416.827980921758
2034-06-16 00:00:00,12264.754274601748,12094.915469172447,12434.593080031049
2034-06-17 00:00:00,12321.099262439046,12146.511119559565,12495.687405318526
2034-06-18 00:00:00,12346.294136216717,12183.993794650996,12508.594477782437
2034-06-19 00:00:00,12345.3751138847,12176.524678488206,12514.225549281195
2034-06-20 00:00:00,12400.507527660178,12231.536974882314,12569.478080438043
2034-06-21 00:00:00,12413.440750007881,12244.909025681349,12581.972474334414
2034-06-22 00:00:00,12441.402305491149,12278.937879466514,12603.866731515784
2034-06-23 00:00:00,12467.851725069637,12306.697682809863,12629.00576732941
2034-06-24 00:00:00,12537.76504481715,12369.300641340993,12706.229448293307
2034-06-25 00:00:00,12580.475574083905,12410.067643576262,12750.883504591548
2034-06-26 00:00:00,12597.82185874019,12430.498575816806,12765.145141663574
2034-06-27 00:00:00,12667.350679609222,12497.947136824707,12836.754222393738
2034-06-28 00:00:00,12684.43725400143,12517.678800162463,12851.195707840398
2034-06-29 00:00:00,12700.322969055143,12533.027373137524,12867.618564972763
2034-06-30 00:00:00,12696.82988368784,12524.38433092679,12869.27543644889
2034-07-01 00:00:00,12724.68686345376,12558.942346934462,12890.431379973059
2034-07-02 00:00:00,12724.78866361158,12555.518588548552,12894.058738674608
2034-07-03 00:00:00,12710.33083171962,12537.222271082146,12883.439392357095
2034-07-04 00:00:00,12763.419076957745,12596.394704670387,12930.443449245104
2034-07-05 00:00:00,12775.107266045505,12605.61173028623,12944.60280180478
2034-07-06 00:00:00,12787.879866136507,12619.782543958452,12955.977188314562
2034-07-07 00:00:00,12777.332993839676,12605.005890417826,12949.660097261527
2034-07-08 00:00:00,12794.605953622695,12622.042575233503,12967.169332011887
2034-07-09 00:00:00,12785.570028452532,12610.360601671282,12960.779455233782
2034-07-10 00:00:00,12767.323336369916,12602.808879784661,12931.837792955172
2034-07-11 00:00:00,12820.80225884091,12650.082641639758,12991.521876042061
2034-07-12 00:00:00,12832.008474825481,12669.779050868834,12994.237898782128
2034-07-13 00:00:00,12839.758127051638,12663.857955608622,13015.658298494654
2034-07-14 00:00:00,12821.207541168917,12654.58053029696,12987.834552040873
2034-07-15 00:00:00,12833.2855621956,12664.795788472205,13001.775335918996
2034-07-16 00:00:00,12826.63772449296,12653.406467182562,12999.86898180336
2034-07-17 00:00:00,12817.605395046023,12648.943891433657,12986.266898658389
2034-07-18 00:00:00,12880.946314222294,12711.466514223139,13050.42611422145
2034-07-19 00:00:00,12895.639613987634,12729.27343235569,13062.005795619578
2034-07-20 00:00:00,12897.977425818293,12728.540816250548,13067.414035386038
